reaction,has_rclass,has_main_pair,num_pairs
R08660,True,True,13
R00327,True,True,181
R10583,True,True,9
R10715,True,True,5
R01584,True,True,13
R11014,True,True,5
R04859,True,True,55
R08545,True,True,2
R02942,True,True,22
R10089,True,True,28
R04283,True,True,2
R01647,True,True,2
R02536,True,True,52
R09972,True,True,3
R09098,True,True,4
R08874,True,True,141
R07303,True,True,22
R00673,True,True,19
R09088,True,True,1
R06963,True,True,3
R01811,True,True,9
R11023,True,True,3
R09651,True,True,78
R05495,True,True,3
R01377,True,True,11
R01466,True,True,1
R00699,True,True,28
R01616,True,True,170
R00572,True,True,220
R09846,True,True,61
R00928,True,True,100
R08975,True,True,61
R07281,True,True,2
R08244,True,True,34
R01553,True,True,5
R12754,True,True,1
R09976,True,True,1
R09620,True,True,2
R06223,True,True,8
R10053,True,True,4
R02573,True,True,8
R02721,False,False,0
R09786,True,True,4
R03854,True,True,3
R09931,True,True,54
R09068,True,True,181
R00646,True,True,2
R09256,True,True,263
R01440,True,True,3
R09107,True,True,174
R12417,False,False,0
R09997,True,True,3
R02781,True,True,79
R05553,True,True,5
R10797,True,True,2
R08501,True,True,1
R08685,True,True,8
R01392,True,True,25
R10674,True,True,11
R07796,True,True,34
R04877,True,True,1
R01354,True,True,30
R00393,True,True,6
R02320,True,True,220
R10717,True,True,20
R05568,True,True,6
R10576,True,True,4
R04999,True,True,1
R00229,True,True,380
R02862,True,True,4
R00925,True,True,255
R10296,True,True,161
R05341,True,True,6
R07399,True,True,163
R10616,True,True,35
R04280,True,True,3
R00218,True,True,1
R00710,True,True,3
R08784,True,True,25
R06574,True,True,161
R08412,True,True,101
R06388,True,True,8
R08918,True,True,55
R02945,True,True,24
R01634,True,True,10
R13398,True,True,104
R03732,True,True,17
R01627,True,True,1
R05151,True,True,1
R12396,False,False,0
R10578,True,True,4
R11524,True,True,242
R13379,False,False,0
R05426,True,True,5
R02604,True,True,3
R07364,True,True,2
R00206,True,True,220
R05453,True,True,226
R05250,True,True,28
R00653,True,True,24
R05364,True,True,13
R10451,True,True,42
R09623,True,True,3
R04268,True,True,24
R00212,True,True,162
R06891,True,True,5
R01690,True,True,44
R01645,True,True,26
R00519,True,True,3
R05616,True,True,22
R08150,True,True,61
R01261,True,True,6
R01064,True,True,35
R08542,True,True,1
R12303,True,True,2
R10866,True,True,159
R00562,True,True,17
R01209,True,True,2
R07734,True,True,7
R10333,True,True,12
R06378,True,True,55
R00324,True,True,29
R01085,True,True,30
R03037,True,True,9
R06883,True,True,3
R04103,True,True,146
R10562,True,True,2
R01172,True,True,171
R08371,False,False,0
R01370,True,True,25
R00893,True,True,2
R04795,False,False,0
R01425,True,True,118
R03217,True,True,71
R01323,True,True,100
R01919,True,True,23
R03001,True,True,64
R12304,True,True,28
R04461,True,True,6
R10474,True,True,289
R02229,True,True,51
R01712,True,True,6
R09540,False,False,0
R06728,True,True,167
R08146,True,True,13
R00654,True,True,3
R01039,True,True,44
R09238,True,True,2
